,url,delegacion,colonia,antiguedad,superficie construida en m2,precio total en pesos,precio de m2,precio mediano de m2 de la colonia,precio mediano de m2 de la colonia (nuevos),precio mediano de m2 de la colonia (usados),delta,semaforo
41653, http://departamento.metroscubicos.com/MLM-582087768-departamento-en-benito-juarez-df-ac-2149-_JM,Benito Jurez,ALAMOS,no_age_info,100,1371500.0,13715.0,38356.25,38446.45714285714,29736.842105263157,-64.24311552875999,subvaluado
41655, http://departamento.metroscubicos.com/MLM-582087771-departamento-en-coyoacan-df-ac-5461-_JM,Coyoacn,CULHUACAN CTM SECCION V,no_age_info,60,1143000.0,19050.0,11571.42857142857,,10593.406593406593,64.62962962962965,sobrevaluado
41659, http://departamento.metroscubicos.com/MLM-582087796-departamento-en-narvarte-_JM,Benito Jurez,DEL VALLE CENTRO,no_age_info,191,4500000.0,23560.20942408377,43032.7868852459,43308.10810810811,37628.36552897608,-45.25056095736724,verde
41715, http://departamento.metroscubicos.com/MLM-582089774-departamento-en-narvarte-poniente-_JM,Benito Jurez,DEL VALLE CENTRO,no_age_info,96,3900000.0,40625.0,43032.7868852459,43308.10810810811,37628.36552897608,-5.5952380952380905,amarillo
41750, http://departamento.metroscubicos.com/MLM-582090096-departamento-en-roma-norte-_JM,Miguel Hidalgo,JUAREZ,no_age_info,81,4350000.0,53703.7037037037,53336.44385026738,53769.12582781457,45604.395604395606,0.688572066160499,amarillo
41752, http://departamento.metroscubicos.com/MLM-582090390-departamento-en-granada-_JM,Miguel Hidalgo,LOS MANZANOS,no_age_info,60,3700000.0,61666.666666666664,61674.00881057269,72727.27272727272,51485.857500895094,-0.011904761904770305,amarillo
41761, http://departamento.metroscubicos.com/MLM-582090899-departamento-enalbarrada-potrero-iztapalapa-ac-5078-_JM,Iztapalapa,Ampl. SAN MIGUEL,no_age_info,66,841000.0,12742.424242424242,13623.82445141066,,13793.103448275862,-6.469550544562057,amarillo
41814, http://departamento.metroscubicos.com/MLM-582091787-departamento-en-torre-blanca-miguel-hidalgo-ac-5057-_JM,Miguel Hidalgo,ARGENTINA ANTIGUA,no_age_info,51,960000.0,18823.529411764706,18823.529411764706,23214.285714285714,18367.74193548387,0.0,amarillo
41838, http://departamento.metroscubicos.com/MLM-582092243-deprtamento-en-santa-fe-_JM,lvaro Obregn,SAN GABRIEL,10,150,6500000.0,43333.333333333336,54642.857142857145,53553.6231884058,52694.69607754325,-17.765284632127184,naranja
41860, http://departamento.metroscubicos.com/MLM-582092453-departamento-en-contadero-_JM,lvaro Obregn,SANTA FE LA LOMA,no_age_info,180,9200000.0,51111.11111111111,58333.333333333336,61427.8350515464,45994.61676493207,-12.380952380952387,naranja
41863, http://departamento.metroscubicos.com/MLM-582092458-departamento-en-anahuac-ii-miguel-hidalgo-ac-5061-_JM,Miguel Hidalgo,LOS MANZANOS,no_age_info,66,1089000.0,16500.0,37719.29824561404,52554.11255411255,34615.38461538462,-56.25581395348837,subvaluado
41930, http://departamento.metroscubicos.com/MLM-582095870-departamento-en-del-gas-_JM,Azcapotzalco,DEL GAS,no_age_info,56,1670000.0,29821.428571428572,29821.428571428572,,,0.0,amarillo
41936, http://departamento.metroscubicos.com/MLM-582096364-departamento-en-narvarte-poniente-_JM,Benito Jurez,DEL VALLE CENTRO,no_age_info,77,3850000.0,50000.0,43032.7868852459,43308.10810810811,37628.36552897608,16.190476190476197,sobrevaluado
41940, http://departamento.metroscubicos.com/MLM-582096538-departamento-5-recs-7-banos-6-garges-real-de-las-lomas-_JM,Miguel Hidalgo,BOSQUE DE LAS LOMAS,20,540,43945000.0,81379.62962962964,61052.03703703704,,61052.03703703704,33.295519001701656,sobrevaluado
41978, http://departamento.metroscubicos.com/MLM-582097559-departamento-en-polanco-_JM,Miguel Hidalgo,POLANCO IV SECCION,no_age_info,200,13464000.0,67320.0,102413.79310344828,102567.37712044452,103888.88888888889,-34.266666666666666,verde
41979, http://departamento.metroscubicos.com/MLM-582097720-departamento-en-venta-cumbres-de-maltrata-narvarte-poniente-_JM,Benito Jurez,DEL VALLE CENTRO,8,62,2690000.0,43387.096774193546,43032.7868852459,43308.10810810811,37628.36552897608,15.304229041739537,sobrevaluado
42019, http://departamento.metroscubicos.com/MLM-582098244-departamento-en-venta-cumbres-de-maltrata-narvarte-poniente-_JM,Benito Jurez,DEL VALLE CENTRO,8,62,2690000.0,43387.096774193546,43032.7868852459,43308.10810810811,37628.36552897608,15.304229041739537,sobrevaluado
42020, http://departamento.metroscubicos.com/MLM-582098327-departamento-en-venta-cumbres-de-maltrata-narvarte-poniente-_JM,Benito Jurez,DEL VALLE CENTRO,8,62,2690000.0,43387.096774193546,43032.7868852459,43308.10810810811,37628.36552897608,15.304229041739537,sobrevaluado
42021, http://departamento.metroscubicos.com/MLM-582098418-departamento-en-venta-cumbres-de-maltrata-narvarte-poniente-_JM,Benito Jurez,DEL VALLE CENTRO,8,62,2690000.0,43387.096774193546,43032.7868852459,43308.10810810811,37628.36552897608,15.304229041739537,sobrevaluado
42025, http://departamento.metroscubicos.com/MLM-582098767-departamento-en-venta-cumbres-de-maltrata-narvarte-poniente-_JM,Benito Jurez,DEL VALLE CENTRO,8,62,2690000.0,43387.096774193546,43032.7868852459,43308.10810810811,37628.36552897608,15.304229041739537,sobrevaluado
42029, http://departamento.metroscubicos.com/MLM-582099378-tacuba-como-nuevo-_JM,Miguel Hidalgo,TACUBA,6,60,1680000.0,28000.0,28301.88679245283,30978.260869565216,27173.91304347826,3.040000000000003,amarillo
42042, http://departamento.metroscubicos.com/MLM-582099417-departamento-en-gustavo-a-madero-cdmx-ac-6254-_JM,Azcapotzalco,INDUSTRIAL VALLEJO,no_age_info,74,946000.0,12783.783783783783,12783.783783783783,,,0.0,amarillo
42043, http://departamento.metroscubicos.com/MLM-582099419-departamento-en-cumbres-de-santa-fe-_JM,lvaro Obregn,CORPUS CHRISTY,no_age_info,279,19500000.0,69892.47311827957,37087.91208791209,57195.57886849007,32936.50793650794,88.45081640780565,sobrevaluado
42061, http://departamento.metroscubicos.com/MLM-582099464-depa-en-colina-del-sur-alvaro-obregon-ac-4662-_JM,lvaro Obregn,Ampl. PILOTO ADOLFO LOPEZ MATEOS,no_age_info,72,1220070.0,16945.416666666668,19626.55448717949,,22307.69230769231,-13.66076670392758,naranja
42111, http://departamento.metroscubicos.com/MLM-582100615-departamento-mixcoac-en-venta-super-precio-_JM,Benito Jurez,MERCED GOMEZ,10,80,2700000.0,33750.0,37654.86725663717,40000.0,23096.264367816093,46.12752721617418,sobrevaluado
42136, http://departamento.metroscubicos.com/MLM-582101211-venta-departamento-polanco-_JM,Miguel Hidalgo,POLANCO I SECCION,30,285,15500000.0,54385.9649122807,61111.11111111111,87500.0,50735.44433094995,7.195207668860094,amarillo
42150, http://departamento.metroscubicos.com/MLM-582101238-departamento-en-xoco-_JM,Benito Jurez,DEL CARMEN,no_age_info,88,3993300.0,45378.40909090909,45150.721786833856,45378.40909090909,36439.0756302521,0.5042827557667685,amarillo
42165, http://departamento.metroscubicos.com/MLM-582102011-departamento-en-coyoacan-df-ac-6174-_JM,Iztapalapa,VALLE DEL SUR,no_age_info,70,2517600.0,35965.71428571428,17851.5625,,17851.5625,101.47095967489838,sobrevaluado
42180, http://departamento.metroscubicos.com/MLM-582102046-departamento-iztacalco-df-ac-5455-_JM,Iztapalapa,PUEBLA,no_age_info,60,1400000.0,23333.333333333332,14933.333333333334,19642.85714285714,15000.0,56.24999999999998,sobrevaluado
42181, http://departamento.metroscubicos.com/MLM-582102047-departamento-en-juarez-c-_JM,Miguel Hidalgo,POLANCO I SECCION,no_age_info,80,5200000.0,65000.0,48260.86956521739,63404.255319148935,48260.86956521739,34.68468468468468,sobrevaluado
42185, http://departamento.metroscubicos.com/MLM-582102056-remate-hipotecario-en-venustiano-carranza-ac-1892-_JM,Cuauhtmoc,MAZA,10,68,859000.0,12632.35294117647,12632.35294117647,,12632.35294117647,0.0,amarillo
42204, http://departamento.metroscubicos.com/MLM-582102531-departamento-iztacalco-df-ac-5452-_JM,Iztapalapa,PUEBLA,no_age_info,60,896000.0,14933.333333333334,14933.333333333334,19642.85714285714,15000.0,0.0,amarillo
42239, http://departamento.metroscubicos.com/MLM-582103223-depa-en-ticoman-gustavo-a-madero-cdmx-ac-4660-_JM,Gustavo A. Madero,Residnc. LA ESCALERA,no_age_info,47,830270.0,17665.31914893617,18915.992907801417,,20166.666666666668,-6.611726727543012,amarillo
42245, http://departamento.metroscubicos.com/MLM-582103235-departamento-en-vallejo-poniente-gustavo-a-madero-ac-5021-_JM,Cuauhtmoc,VALLEJO,no_age_info,45,839000.0,18644.444444444445,18644.444444444445,,,0.0,amarillo
42519, http://departamento.metroscubicos.com/MLM-582105089-depa-juan-escutia-iztapalapa-cdmx-ac-4650-_JM,Iztapalapa,AGRICOLA PANTITLAN,no_age_info,72,894340.0,12421.388888888889,12421.388888888889,,,0.0,amarillo
42522, http://departamento.metroscubicos.com/MLM-582105096-departamento-alvaro-obregon-df-ac-5455-_JM,La Magdalena Contreras,SAN ANGEL,no_age_info,60,1526000.0,25433.333333333332,33787.878787878784,43879.31034482759,27651.515151515152,-24.726457399103133,verde
42648, http://departamento.metroscubicos.com/MLM-582114801-hermoso-departamento-en-mediterranea-_JM,lvaro Obregn,SAN GABRIEL,7,230,11500000.0,50000.0,54642.857142857145,53553.6231884058,52694.69607754325,-5.113789960146755,amarillo
42674, http://departamento.metroscubicos.com/MLM-582117769-departamento-venta-condor-las-aguilas-_JM,lvaro Obregn,LOS ALPES,no_age_info,207,11800000.0,57004.830917874395,41666.666666666664,38181.818181818184,37549.407114624504,36.811594202898554,sobrevaluado
42689, http://departamento.metroscubicos.com/MLM-582121062-garden-house-exclusivo-de-un-solo-nivel-_JM,Miguel Hidalgo,SAN GABRIEL,no_age_info,185,10200000.0,55135.13513513513,50918.19017094017,64732.142857142855,40889.83050847457,8.281804498624226,amarillo
